dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score,primary_outcome_count,primary_analysis_count,primary_pvalue_count,primary_significant_pvalue_count,primary_effect_value_count,primary_ci_count,best_primary_pvalue,best_primary_outcome_title,best_primary_method,best_primary_param_type,best_primary_param_value,best_primary_ci_lower,best_primary_ci_upper,best_primary_pvalue_raw,primary_signal_bucket,has_adverse_events_module,lead_sponsor_name,leadership_bucket,leadership_confidence,leadership_reason,responsible_party_affiliation,overall_official_affiliations,in_transfer_shortlist,followup_priority_score
africa,NCT05930782,Piperaquine Granule Formulation Relative Bioavailability and Food Effect Study in Healthy Volunteers.,OTHER,PREVENTION,DRUG,60,5,1,1,Tanzania,Tanzania,True,2023-08-14,2023-12-06,2025-03-06,114,456,49,True,True,False,False,,,,86.11,36.8,49.05,61.44,5,5,0,0,5,5,,Relative Bioavailability (Frel) of the Maximum Observed Plasma Concentration (Cmax) of the PQP Dispersible Granule Compared to the PQP Hard Tablet in the Fasted State (Frel Cmax).,,geometric least square mean ratios (GMR),73.9,48.32,113.02,,effect_estimate_no_significance,True,Medicines for Malaria Venture,mixed_local_site_with_external_sponsor,medium,overall official affiliation 1 mentions African country `Tanzania`; named sponsor `Medicines for Malaria Venture` does not match African site institutions,,"Ifakara Health Institute (IHI), Tanzania | Ifakara Health Institute (IHI), Tanzania",True,72.44
africa,NCT04940130,PfSPZ Vaccine Trial in Malian Children,INDUSTRY,PREVENTION,BIOLOGICAL | OTHER,290,2,1,1,Mali,Mali,True,2022-04-01,2022-12-10,2024-02-07,253,424,302,True,True,False,False,,,,79.72,41.39,45.86,59.53,1,0,0,0,0,0,,,,,,,,,no_primary_analysis_structured,True,Sanaria Inc.,mixed_local_site_with_external_sponsor,medium,overall official affiliation 2 matches African site facility `Malaria Research and Training Center`; sponsor class is `INDUSTRY`,,National Institute of Allergy and Infectious Diseases (NIAID) | Malaria Research and Training Center,True,65.53
africa,NCT00460525,Phase II AMA-1 Malaria Vaccine FMP2.1/AS02A Trial in Mali,FED,PREVENTION,BIOLOGICAL,400,2,1,1,Mali,Mali,True,2007-05-01,2009-07-01,2010-08-10,792,405,19,True,True,True,True,12011004|17442466|21916638|24260195|27087149|28282396,12011004|17442466,,57.22,37.91,42.61,47.54,8,1,1,0,1,1,0.175,Time to First Clinical Malaria Episode With Significant Parasitemia (2500/mm^3) and Temperature of Greater Than or Equal to 37.5 Degrees C.,"Regression, Cox","Vaccine Efficacy, VE=1-RR=1-exp(ß)",0.17,-0.09,0.37,0.175,effect_estimate_no_significance,True,U.S. Army Medical Research and Development Command,mixed_local_site_with_external_sponsor,medium,"overall official affiliation 1 matches African site facility `University of Bamako, Malaria Research and Training Center`; sponsor class is `FED`",,University of Bamako,True,62.54
africa,NCT02118428,Clinical and Biological Efficacy of Mirasol-treated Fresh Whole Blood for the Prevention of Transfusion-transmitted Malaria,INDUSTRY,PREVENTION,BIOLOGICAL | DEVICE,227,2,1,1,Ghana,Ghana,True,2014-03-01,2014-12-01,2019-05-10,275,1621,2,True,True,True,False,27116282,,,49.45,43.05,30.73,43.47,1,0,0,0,0,0,,,,,,,,,no_primary_analysis_structured,True,Terumo BCTbio,mixed_local_site_with_external_sponsor,medium,overall official affiliation 1 matches African site facility `Komfo Anokye Teaching Hospital`; sponsor class is `INDUSTRY`,,Komfo Anokye Teaching Hospital,True,49.47
africa,NCT02230579,Phase I Study of Ascending Doses of MMV390048 in Healthy Adult Volunteers,OTHER,TREATMENT,DRUG,48,6,1,1,South Africa,South Africa,True,2014-05-01,2015-02-01,2018-10-29,276,1366,-120,False,True,True,False,31932368,,,50.84,37.5,25.42,41.09,3,0,0,0,0,0,,,,,,,,,no_primary_analysis_structured,True,Medicines for Malaria Venture,mixed_local_site_with_external_sponsor,medium,"overall official affiliation 1 matches African site facility `Cinical Pharmacology, University of Cape Town`; named sponsor `Medicines for Malaria Venture` does not match African site institutions",,University of Cape Town,False,47.09
africa,NCT04532931,Four Different Experimental Drug Regimens to Standard of Care for the Treatment of Symptomatic Outpatients With COVID-19,INDUSTRY,TREATMENT,DRUG,192,5,1,1,South Africa,South Africa,True,2020-09-03,2021-08-05,2025-07-28,336,1453,8,True,True,False,False,,,,48.61,33.61,30.3,39.7,1,0,0,0,0,0,,,,,,,,,no_primary_analysis_structured,True,Shin Poong Pharmaceutical Co. Ltd.,mixed_local_site_with_external_sponsor,medium,"overall official affiliation 1 matches African site facility `Ezintsha, Wits Reproductive Health & HIV Institute University of the Witwatersrand`; sponsor class is `INDUSTRY`",,"Ezintsha, Wits Reproductive Health & HIV Institute University of the Witwatersrand",True,45.7
africa,NCT00349713,"FMP2.1/AS02A: Rabies Vaccine Malaria-Experienced Adults in Bandiagara, Mali",FED,PREVENTION,BIOLOGICAL,60,3,1,1,Mali,Mali,True,2004-11-01,2005-12-01,2017-07-24,395,4253,-612,False,True,False,False,,,,38.33,41.52,19.16,35.61,1,0,0,0,0,0,,,,,,,,,no_primary_analysis_structured,True,U.S. Army Medical Research and Development Command,mixed_local_site_with_external_sponsor,medium,"overall official affiliation 1 matches African site facility `University of Bamako, Malaria Research and Training Center`; sponsor class is `FED`",,"University of Bamako | University of Maryland, Baltimore",False,41.61
africa,NCT04566510,LLIN Evaluation in Uganda Project,OTHER,PREVENTION,BEHAVIORAL | OTHER,32895,2,1,1,Uganda,Uganda,True,2020-10-17,2023-03-31,2024-11-14,895,594,25,True,True,True,False,40009611,,,41.38,28.61,26.69,33.97,1,0,0,0,0,0,,,,,,,,,no_primary_analysis_structured,True,"University of California, San Francisco",mixed_local_site_with_external_sponsor,medium,"overall official affiliation 2 matches African site facility `Infectious Diseases Research Collaboration`; named sponsor `University of California, San Francisco` does not match African site institutions",,London School of Hygiene and Tropical Medicine | Infectious Diseases Research Collaboration,False,39.97
africa,NCT04336189,Optimal Chemopreventive Regimens to Prevent Malaria and Improve Birth Outcomes in Uganda,OTHER,PREVENTION,DRUG,2757,3,1,1,Uganda,Uganda,True,2020-12-28,2024-07-28,2025-11-06,1308,466,272,True,True,True,False,40966190,,,41.66,24.72,26.83,32.77,3,0,0,0,0,0,,,,,,,,,no_primary_analysis_structured,True,"Grant Dorsey, M.D, Ph.D.",mixed_local_site_with_external_sponsor,medium,"overall official affiliation 4 matches African site facility `Infectious Diseases Research Collaboration Clinic - Masafu Hospital`; named sponsor `Grant Dorsey, M.D, Ph.D.` does not match African site institutions","University of California, San Francisco","University of California, San Francisco | University of California, San Francisco | Makerere University; Infectious Diseases Research Collaboration | Infectious Diseases Research Collaboration",False,38.77
africa,NCT03676764,Community Health Azithromycin Trial in Burkina Faso,OTHER,PREVENTION,DRUG,77664,4,1,1,Burkina Faso,Burkina Faso,True,2019-08-01,2023-12-01,2025-02-24,1583,451,318,True,True,True,False,31801563|38231623|38261579|38349371|39466816|40343013|40630579|40779591|41626759|41662252,,,42.23,19.16,27.11,31.13,2,0,0,0,0,0,,,,,,,,,no_primary_analysis_structured,True,"University of California, San Francisco",mixed_local_site_with_external_sponsor,medium,"overall official affiliation 3 mentions African country `Burkina Faso`; named sponsor `University of California, San Francisco` does not match African site institutions",,"University of California, San Francisco | University of California, San Francisco | Centre de Recherche en Sante de Nouna, Burkina Faso",False,37.13
africa,NCT04319380,"Seasonal Malaria Vaccination (RTS,S/AS01) and Seasonal Malaria Chemoprevention (SP/AQ) Extension Study",OTHER,PREVENTION,BIOLOGICAL | DRUG,5098,3,2,2,Burkina Faso | Mali,Burkina Faso | Mali,True,2020-04-01,2022-03-31,2024-09-20,729,904,15,True,True,True,False,37625434,,,37.23,18.33,24.61,28.09,1,0,0,0,0,0,,,,,,,,,no_primary_analysis_structured,True,London School of Hygiene and Tropical Medicine,mixed_local_site_with_external_sponsor,medium,overall official affiliation 1 matches African site facility `Malaria Research & Training Center`; named sponsor `London School of Hygiene and Tropical Medicine` does not match African site institutions,,"Malaria Research & Training Center, Bamako | Institut de Recherche en Sciences de la Santé, Direction Régionale de l'Ouest (IRSS-DRO)",False,34.09
